providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
21st Century Insurance Company	12-31-2015	Marketing-Sales	Company Position Upheld	Unjustified	11064	13-09-2016
21st Century North America Insurance Company	04-01-2016	Underwriting	Insufficient Information	No Action Necessary	19074	09-12-2014
Liberty Mutual Fire Insurance Company	12-08-2014	Underwriting	Furnished Information	Unjustified	11064	10-07-2014
21st Century Premier Insurance Company	01-09-2015	Underwriting	Company Position Upheld	Unjustified	11071	07-04-2016
5 Star Life Insurance Company	04-02-2015	Underwriting	Non-Renewal Upheld	Unjustified	11057	06-08-2017
AAA Life Insurance Company	07-08-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11059	18-01-2018
ACA Assurance Company	07-14-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11059	07-11-2015
Acadia Insurance Company	09-01-2015	Premium and Rating	Company Position Upheld	Unjustified	11057	17-09-2013
GEICO General Insurance Company	10-01-2015	Underwriting	Company Position Upheld	Unjustified	11064	11-05-2016
Acceptance Indemnity Insurance Company	10-19-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	04-02-2014
State Farm Fire & Casualty Company	11-30-2015	Premium and Rating	Company Position Upheld	Unjustified	11072	14-09-2016
Acceptance Insurance Company	11-30-2015	Underwriting	Non-Renewal Upheld	Unjustified	11061	09-12-2017
Accordia Life and Annuity Company	12-08-2015	Underwriting	Cancellation Upheld	Unjustified	11062	18-06-2016
ACE American Insurance Company	02-26-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	21-05-2016
ACE Property & Casualty Insurance Company	01-04-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	05-05-2015
Admiral Insurance Company	08-08-2016	Unfair Claims Practice	Refer To Appraisal	Unjustified	11052	03-05-2013
Aegis Security Insurance Company	08-08-2016	Unfair Claims Practice	Refer To Appraisal	Unjustified	11060	24-05-2013
Allstate Insurance Company	10-28-2016	Underwriting	Non-Renewal Upheld	Unjustified	11059	04-11-2013
Aetna Health and Life Insurance Company	04-21-2017	Underwriting	Non-Renewal Upheld	Unjustified	11072	07-12-2014
Liberty Insurance Corporation	06-01-2016	Premium and Rating	Premium Refund	Unjustified	11053	08-01-2015
Amica Mutual Insurance Company	03-28-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	26-04-2015
National Union Fire Insurance Company of Pittsburgh, PA	11-18-2016	Unfair Claims Practice	Claim Settled	Unjustified	11083	16-10-2014
Genworth Life Insurance Company	12-12-2014	Underwriting	Furnished Information	No Authority	12061	15-05-2017
Nationwide General Insurance Company	01-08-2015	Premium and Rating	Furnished Information	No Authority	12067	11-01-2014
Allianz Life Insurance Company of North America	06-11-2015	Premium and Rating	Furnished Information	Furnished Information	21078	10-10-2016
Bankers Standard Insurance Company	06-11-2015	Underwriting	Furnished Information	Furnished Information	21065	09-08-2016
Progressive Direct Insurance Company	12-16-2014	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	02-05-2013
Allstate Fire and Casualty Insurance Company	07-10-2015	Unfair Claims Practice	Claim Settled	Unjustified	11067	13-08-2017
Union Security Insurance Company	09-04-2015	Underwriting	Company Position Upheld	Unjustified	11065	05-12-2013
GEICO Indemnity Company	09-18-2015	Unfair Claims Practice	Claim Settled	Justified	9051	16-09-2017
Aetna Health Inc	10-06-2015	Unfair Claims Practice	Contract Provision	Unjustified	11044	25-02-2015
Pilgrim Insurance Company	03-02-2017	Underwriting	Non-Renewal Rescinded	Unjustified	11056	22-01-2018
Metropolitan Group Property and Casualty Insurance Company	03-15-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11096	30-03-2017
IDS Property Casualty Insurance Company	04-02-2015	Marketing-Sales	Corrective Action	Questionable	12066	10-12-2017
Standard Insurance Company	03-15-2018	Premium and Rating	Company Position Upheld	Unjustified	11064	18-12-2014
Government Employees Insurance Company	01-25-2017	Unfair Claims Practice	Claim Settled	Justified	9066	23-02-2017
USAA General Indemnity Company	08-19-2015	Marketing-Sales	Company Position Upheld	Unjustified	11068	25-08-2013
Progressive Casualty Insurance Company	02-17-2016	Marketing-Sales	Corrective Action	Unjustified	11070	26-10-2014
Aetna Insurance Company of Connecticut	02-22-2016	Marketing-Sales	Corrective Action	Unjustified	11070	11-11-2014
CSAA Affinity Insurance Company	04-06-2016	Marketing-Sales	Corrective Action	Unjustified	11058	11-01-2015
Metropolitan Property and Casualty Insurance Company	04-11-2016	Marketing-Sales	Corrective Action	Unjustified	11079	31-08-2014
Hartford Insurance Company of the Midwest	04-27-2016	Marketing-Sales	Corrective Action	Unjustified	11072	02-12-2013
Anthem Health Plans, Inc	04-28-2016	Premium and Rating	Corrective Action	Unjustified	11056	25-11-2016
Old Dominion Insurance Company	05-23-2016	Marketing-Sales	Corrective Action	Unjustified	11062	03-04-2015
Main Street America Assurance Company	02-16-2017	Marketing-Sales	Corrective Action	Justified	9069	23-11-2016
United Services Automobile Association	02-16-2017	Marketing-Sales	Corrective Action	Justified	9070	13-01-2014
LM General Insurance Company	02-16-2017	Marketing-Sales	Corrective Action	Justified	9060	15-06-2016
Reliance Standard Life Insurance Company	05-10-2017	Premium and Rating	Corrective Action	Justified	9066	14-06-2013
Aetna Life Insurance Company	06-05-2017	Marketing-Sales	Corrective Action	Justified	9055	11-03-2017
Philadelphia Indemnity Insurance Company	07-17-2017	Premium and Rating	Corrective Action	Justified	9072	14-05-2015
Brighthouse Life Insurance Company	12-03-2014	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	21-05-2017
Twin City Fire Insurance Company	05-04-2015	Unfair Claims Practice	Contract Provision	Unjustified	11060	28-05-2017
ConnectiCare Insurance Company, Inc	04-18-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	12-09-2017
UnitedHealthcare Insurance Company	06-29-2016	Unfair Claims Practice	Claim Settled	Unjustified	11062	10-07-2017
Cigna HealthCare of Connecticut, Inc	07-25-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	10-10-2016
Encompass Indemnity Company	03-06-2017	Unfair Claims Practice	Claim Settled	Justified	9049	10-10-2017
Standard Fire Insurance Company (The)	10-08-2015	Unfair Claims Practice	Claim Settled	Unjustified	11060	10-09-2017
Peerless Insurance Company	02-01-2016	Marketing-Sales	Company Position Upheld	Unjustified	11059	04-03-2013
Hartford Insurance Company of the Southeast	06-10-2015	Premium and Rating	Corrective Action	Unjustified	11070	09-04-2013
Trumbull Insurance Company	01-26-2018	Unfair Claims Practice	Contract Provision	Unjustified	11059	30-04-2015
Conseco Insurance Company	01-19-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21062	18-06-2013
Underwriters at Lloyds London	06-12-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21060	29-12-2014
ConnectiCare Benefits, Inc.	03-12-2018	Premium and Rating	Company Position Upheld	Unjustified	11060	11-03-2017
ConnectiCare Inc	03-20-2018	Unfair Claims Practice	Contract Provision	Unjustified	11049	17-06-2017
Transamerica Life Insurance Company	03-15-2018	Underwriting	Cancellation Upheld	Unjustified	11069	06-06-2014
Truck Insurance Exchange	03-15-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	03-04-2014
Victoria Fire and Casualty Company	03-28-2018	Premium and Rating	Rate Increase Explained	Furnished Information	21072	05-11-2014
USAA Casualty Insurance Company	03-15-2018	Unfair Claims Practice	Claim Settled	Unjustified	11059	18-01-2016
Liberty Mutual Insurance Company	03-20-2018	Unfair Claims Practice	Contract Provision	Unjustified	11064	31-10-2017
Genworth Life and Annuity Insurance Company	02-14-2018	Marketing-Sales	Company Position Upheld	Unjustified	11081	26-05-2014
Transamerica Life Insurance and Annuity Company	02-27-2018	Premium and Rating	Company Position Upheld	Unjustified	11085	09-10-2013
AGCS Marine Insurance Company	03-19-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	06-06-2013
AIG Property Casualty Company	01-23-2018	Unfair Claims Practice	Claim Settled	Unjustified	11057	06-10-2015
AIG Specialty Insurance Company	02-14-2018	Marketing-Sales	Company Position Upheld	Unjustified	11069	03-07-2013
AIU Insurance Company	03-14-2018	Underwriting	Furnished Information	Furnished Information	21057	22-12-2015
AIX Specialty Insurance Company	03-15-2018	Underwriting	Cancellation Upheld	Unjustified	11065	19-07-2014
Covenant Insurance Company	12-04-2014	Statute Violation	Corrective Action	Justified	9053	11-02-2017
Allianz Global Risks US Insurance Company	12-22-2014	Unfair Claims Practice	Furnished Information	Furnished Information	21076	05-09-2013
Allied Insurance Company of America	01-07-2015	Marketing-Sales	Corrective Action	Justified	9062	05-08-2015
Allmerica Financial Benefit Insurance Company	03-12-2018	Unfair Claims Practice	Company Position Upheld	Furnished Information	21077	18-01-2016
CSAA Fire & Casualty Insurance Company	01-12-2015	Premium and Rating	Record Only	No Action Necessary	19059	21-07-2015
Oxford Health Insurance, Incorporated	03-10-2015	Unfair Claims Practice	Insufficient Information	Furnished Information	21071	14-09-2015
Fidelity Security Life Insurance Company	03-15-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	06-07-2016
Massachusetts Mutual Life Insurance Company	04-24-2015	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20071	05-12-2015
Allstate Indemnity Company	05-04-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21057	09-04-2014
Allstate Life Insurance Company	03-05-2018	Unfair Claims Practice	Enter Arbitration	Unjustified	11058	22-03-2017
Allstate Property and Casualty Insurance Company	06-02-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21079	29-12-2016
American Alternative Insurance Corporation	03-19-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11080	02-09-2015
American Automobile Insurance Company	08-12-2015	Underwriting	Corrective Action	Justified	9064	05-12-2016
American Bankers Insurance Company of Florida	09-01-2015	Underwriting	Contract Provision	Furnished Information	21073	22-09-2017
American Casualty Company of Reading, Pennsylvania	12-14-2015	Unfair Claims Practice	Satisfied	Furnished Information	21074	28-06-2015
American Commerce Insurance Company	01-26-2018	Unfair Claims Practice	Corrective Action	Justified	9067	31-10-2013
American Economy Insurance Company	03-08-2016	Unfair Claims Practice	Insufficient Information	No Action Necessary	19068	30-09-2017
