PROPRIETARYNAME	DOSAGEFORMNAME	LABELERNAME	SUBSTANCENAME	PHARM_CLASSES	
Amyvid	"INJECTION, SOLUTION"	Eli Lilly and Company	FLORBETAPIR F-18	"Radioactive Diagnostic Agent [EPC],Positron Emitting Activity [MoA]"	129
Quinidine Gluconate	SOLUTION	Eli Lilly and Company	QUINIDINE GLUCONATE	"Antiarrhythmic [EPC],Cytochrome P450 2D6 Inhibitor [EPC],Cytochrome P450 2D6 Inhibitors [MoA]"	160
Trulicity	"INJECTION, SOLUTION"	Eli Lilly and Company	DULAGLUTIDE	"GLP-1 Receptor Agonist [EPC],Glucagon-Like Peptide 1 [Chemical/Ingredient],Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]"	181
TALTZ	"INJECTION, SOLUTION"	Eli Lilly and Company	IXEKIZUMAB	"GLP-1 Receptor Agonist [EPC],Glucagon-Like Peptide 1 [Chemical/Ingredient],Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]"	176
AXIRON	"INJECTION, SOLUTION"	Eli Lilly and Company	TESTOSTERONE	"Interleukin-17A Antagonist [EPC],Interleukin-17A Antagonists [MoA]"	124
Prozac	SOLUTION	Eli Lilly and Company	FLUOXETINE HYDROCHLORIDE	"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]"	140
Strattera	"CAPSULE, DELAYED RELEASE"	Eli Lilly and Company	ATOMOXETINE HYDROCHLORIDE	"Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"	147
Symbyax	CAPSULE	Eli Lilly and Company	OLANZAPINE; FLUOXETINE HYDROCHLORIDE	"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"	149
Cymbalta	CAPSULE	Eli Lilly and Company	DULOXETINE HYDROCHLORIDE	"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"	138
Zyprexa	CAPSULE	Eli Lilly and Company	OLANZAPINE	"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"	123
Olumiant	CAPSULE	Eli Lilly and Company	BARICITINIB	"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"	144
Evista	CAPSULE	Eli Lilly and Company	RALOXIFENE HYDROCHLORIDE	"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"	155
Cialis	CAPSULE	Eli Lilly and Company	TADALAFIL	"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"	140
Verzenio	CAPSULE	Eli Lilly and Company	ABEMACICLIB	"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"	144
Effient	CAPSULE	Eli Lilly and Company	PRASUGREL HYDROCHLORIDE	"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"	155
LARTRUVO	CAPSULE	Eli Lilly and Company	ABCIXIMAB	"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"	123
HUMATROPE	CAPSULE	Eli Lilly and Company	OLARATUMAB	"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]"	125
Gemzar	"CAPSULE, DELAYED RELEASE"	Eli Lilly and Company	GEMCITABINE HYDROCHLORIDE	"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]"	202
